time,gFx,gFy,gFz,TgF
0.482261461,-0.1992,-1.0093,0.1114,1.035
0.484340231,-0.2016,-1.0105,0.1116,1.036
0.488150692,-0.2020,-1.0107,0.1104,1.037
0.490227615,-0.2050,-1.0102,0.1090,1.037
0.491402154,-0.2069,-1.0070,0.1070,1.034
0.494086154,-0.2104,-1.0083,0.1058,1.035
0.496579,-0.2121,-1.0076,0.1062,1.035
0.500253231,-0.2138,-1.0063,0.1026,1.034
0.500878692,-0.2134,-1.0060,0.1038,1.034
0.503636846,-0.2172,-1.0065,0.1031,1.035
0.506271,-0.2158,-1.0044,0.1031,1.032
0.508530692,-0.2158,-1.0039,0.1011,1.032
0.512146692,-0.2138,-1.0039,0.1016,1.031
0.513080231,-0.2165,-1.0044,0.1031,1.033
0.523195,-0.2202,-1.0034,0.1046,1.033
0.524146461,-0.2231,-1.0032,0.1053,1.033
0.524441461,-0.2241,-1.0049,0.1062,1.035
0.524810769,-0.2229,-1.0081,0.1080,1.038
0.525188846,-0.2229,-1.0095,0.1099,1.040
0.527335615,-0.2234,-1.0085,0.1094,1.039
0.529435077,-0.2260,-1.0097,0.1087,1.040
0.531771384,-0.2231,-1.0117,0.1109,1.042
0.542480538,-0.2251,-1.0076,0.1111,1.038
0.543259,-0.2234,-1.0051,0.1090,1.035
0.543622154,-0.2231,-1.0068,0.1114,1.037
0.543929769,-0.2239,-1.0051,0.1104,1.036
0.544572615,-0.2202,-1.0051,0.1116,1.035
0.545909769,-0.2199,-1.0024,0.1116,1.032
0.548228231,-0.2209,-1.0012,0.1116,1.031
0.551027077,-0.2197,-1.0019,0.1148,1.032
0.553238154,-0.2150,-1.0004,0.1148,1.030
0.556850384,-0.2138,-1.0004,0.1139,1.029
0.558102154,-0.2106,-1.0000,0.1153,1.028
0.562132846,-0.2057,-1.0024,0.1143,1.030
0.562751308,-0.2101,-1.0049,0.1141,1.033
0.564437461,-0.2104,-1.0053,0.1109,1.033
0.573306769,-0.2082,-1.0012,0.1090,1.028
0.573702077,-0.2094,-1.0002,0.1106,1.028
0.573804231,-0.2053,-0.9997,0.1067,1.026
0.573888231,-0.2055,-0.9972,0.1050,1.024
0.576268,-0.2065,-0.9995,0.1031,1.026
0.578757538,-0.2036,-0.9972,0.1021,1.023
0.581033461,-0.2045,-0.9958,0.1031,1.022
0.583455077,-0.2065,-0.9968,0.1018,1.023
0.586056846,-0.2085,-0.9978,0.1013,1.024
0.588432615,-0.2118,-1.0016,0.0999,1.029
0.590568615,-0.2158,-1.0032,0.1001,1.031
0.592954384,-0.2160,-1.0027,0.1001,1.031
0.595352923,-0.2180,-1.0032,0.1016,1.032
0.598245231,-0.2211,-1.0019,0.1021,1.031
0.600248923,-0.2255,-1.0012,0.1016,1.031
0.602570384,-0.2243,-0.9988,0.0990,1.028
0.605647384,-0.2280,-0.9968,0.0987,1.027
0.607073231,-0.2302,-0.9965,0.1001,1.028
0.609592846,-0.2304,-0.9980,0.1043,1.030
0.611920231,-0.2319,-1.0000,0.1046,1.032
0.614616846,-0.2316,-1.0004,0.1038,1.032
0.616570461,-0.2274,-1.0016,0.1053,1.033
0.619399923,-0.2270,-1.0027,0.1067,1.034
0.621399692,-0.2239,-1.0053,0.1046,1.035
0.631251692,-0.2218,-1.0095,0.1067,1.039
0.632090769,-0.2211,-1.0127,0.1073,1.042
0.632420538,-0.2169,-1.0151,0.1065,1.043
0.632689538,-0.2162,-1.0168,0.1065,1.045
0.632994692,-0.2138,-1.0170,0.1073,1.045
0.636180308,-0.2141,-1.0186,0.1102,1.047
0.640323923,-0.2146,-1.0158,0.1114,1.044
0.640886461,-0.2136,-1.0161,0.1092,1.044
0.642322077,-0.2121,-1.0137,0.1106,1.042
0.655584846,-0.2099,-1.0144,0.1121,1.042
0.656683077,-0.2097,-1.0109,0.1146,1.039
0.656989846,-0.2101,-1.0102,0.1167,1.038
0.657268923,-0.2097,-1.0090,0.1183,1.037
0.657675,-0.2038,-1.0112,0.1178,1.038
0.657972308,-0.1999,-1.0097,0.1143,1.036
0.658910769,-0.1994,-1.0085,0.1146,1.034
0.661418077,-0.2036,-1.0078,0.1174,1.035
0.663630154,-0.2020,-1.0097,0.1167,1.036
0.666101154,-0.2018,-1.0112,0.1170,1.038
0.668200308,-0.1957,-1.0105,0.1195,1.036
0.671411384,-0.1960,-1.0095,0.1197,1.035
0.674172308,-0.2092,-1.0090,0.1131,1.037
0.677381231,-0.2162,-1.0097,0.1074,1.038
0.678030461,-0.2206,-1.0090,0.1053,1.038
0.684404846,-0.2248,-1.0051,0.1018,1.035
0.684825538,-0.2265,-0.9997,0.1016,1.030
0.685544923,-0.2332,-0.9972,0.1016,1.029
0.687443308,-0.2321,-0.9997,0.1018,1.031
0.689832308,-0.2267,-0.9990,0.1016,1.029
0.691973231,-0.2243,-1.0004,0.1048,1.031
0.694497154,-0.2231,-1.0019,0.1043,1.032
0.696768615,-0.2194,-1.0027,0.1031,1.032
0.699883615,-0.2182,-1.0021,0.0999,1.030
0.701596231,-0.2175,-1.0037,0.0965,1.031
0.704313538,-0.2136,-1.0041,0.0972,1.031
0.706776231,-0.2106,-1.0037,0.0960,1.030
0.708815923,-0.2134,-1.0049,0.0992,1.032
0.711181538,-0.2148,-1.0032,0.1031,1.031
0.713820231,-0.2153,-1.0032,0.1026,1.031
0.717082384,-0.2134,-1.0021,0.1065,1.030
0.718456538,-0.2121,-1.0016,0.1082,1.030
0.720910769,-0.2106,-1.0004,0.1109,1.028
0.730427615,-0.2116,-1.0016,0.1123,1.030
0.731200308,-0.2109,-1.0002,0.1146,1.029
0.731437154,-0.2121,-0.9963,0.1158,1.025
0.731698154,-0.2118,-0.9941,0.1165,1.023
0.733571,-0.2082,-0.9951,0.1190,1.024
0.734546769,-0.2060,-0.9929,0.1192,1.021
0.737771615,-0.2041,-0.9946,0.1190,1.022
0.739523,-0.2029,-0.9941,0.1187,1.021
0.741953769,-0.2006,-0.9963,0.1187,1.023
0.744046154,-0.1999,-0.9990,0.1199,1.026
0.746295692,-0.1987,-0.9992,0.1190,1.026
0.748673154,-0.2011,-1.0037,0.1190,1.031
0.750936231,-0.1994,-1.0053,0.1183,1.032
0.755615923,-0.1982,-1.0083,0.1131,1.034
0.756187615,-0.1989,-1.0127,0.1116,1.038
0.758375,-0.1994,-1.0127,0.1097,1.038
0.760845538,-0.1976,-1.0127,0.1080,1.037
0.763179077,-0.2008,-1.0151,0.1055,1.040
0.765403,-0.2023,-1.0168,0.1046,1.042
0.767617154,-0.2080,-1.0134,0.1018,1.039
0.770068,-0.2109,-1.0109,0.1016,1.038
0.772372538,-0.2175,-1.0102,0.1018,1.038
0.775536615,-0.2255,-1.0063,0.1016,1.036
0.777673769,-0.2251,-1.0046,0.1055,1.035
0.779258769,-0.2241,-1.0041,0.1048,1.034
0.782294077,-0.2273,-1.0009,0.1067,1.032
0.784090692,-0.2287,-1.0019,0.1050,1.033
0.786640923,-0.2283,-1.0002,0.1043,1.031
0.789355615,-0.2274,-1.0007,0.1055,1.032
0.791116231,-0.2262,-0.9978,0.1050,1.028
0.793895308,-0.2285,-0.9972,0.1074,1.029
0.795844231,-0.2253,-1.0021,0.1080,1.033
0.798721538,-0.2236,-1.0004,0.1074,1.031
0.800552,-0.2211,-1.0032,0.1087,1.033
0.802994692,-0.2180,-1.0053,0.1099,1.035
0.805505461,-0.2160,-1.0058,0.1090,1.035
0.808248615,-0.2148,-1.0063,0.1131,1.035
0.810149846,-0.2129,-1.0078,0.1155,1.036
0.812488231,-0.2158,-1.0105,0.1158,1.040
0.814802077,-0.2136,-1.0076,0.1160,1.036
0.817262769,-0.2097,-1.0083,0.1174,1.037
0.819395384,-0.2121,-1.0085,0.1178,1.037
0.831976615,-0.2123,-1.0058,0.1170,1.035
0.832989231,-0.2123,-1.0070,0.1178,1.036
0.833623077,-0.2134,-1.0046,0.1160,1.034
0.834127077,-0.2111,-1.0063,0.1162,1.035
0.834490692,-0.2087,-1.0051,0.1153,1.033
0.834855923,-0.2099,-1.0063,0.1131,1.034
0.836587692,-0.2080,-1.0073,0.1134,1.035
0.839145769,-0.2057,-1.0090,0.1170,1.036
0.841341154,-0.2078,-1.0076,0.1146,1.035
0.846425538,-0.2053,-1.0068,0.1151,1.034
0.847563385,-0.2072,-1.0070,0.1143,1.034
