time,gFx,gFy,gFz,TgF
0.625199693,-1.0022,-0.0594,0.1476,1.015
0.627902847,-1.0005,-0.0591,0.1468,1.013
0.629761923,-1.0003,-0.0579,0.1481,1.013
0.632706462,-0.9986,-0.0591,0.1474,1.011
0.635284385,-0.9995,-0.0591,0.1444,1.012
0.646638462,-0.9998,-0.0569,0.1446,1.012
0.647438231,-0.9975,-0.0569,0.1441,1.010
0.647786847,-0.9968,-0.0562,0.1444,1.009
0.648191693,-0.9975,-0.0571,0.1434,1.009
0.64853077,-0.9949,-0.0579,0.1417,1.007
0.648930154,-0.9979,-0.0591,0.1465,1.010
0.651325,-1.0010,-0.0589,0.1453,1.013
0.658737923,-0.9968,-0.0554,0.1432,1.009
0.659182847,-0.9979,-0.0586,0.1444,1.010
0.659408616,-0.9988,-0.0562,0.1463,1.011
0.661921,-0.9975,-0.0562,0.1458,1.010
0.662759077,-0.9983,-0.0591,0.1470,1.011
0.665288693,-1.0012,-0.0586,0.1481,1.014
0.667952923,-1.0030,-0.0596,0.1486,1.016
0.670483693,-1.0059,-0.0582,0.1444,1.018
0.672569923,-1.0042,-0.0584,0.1453,1.016
0.674796308,-1.0042,-0.0631,0.1451,1.017
0.676903693,-1.0012,-0.0631,0.1446,1.014
0.679432308,-1.0015,-0.0638,0.1434,1.014
0.682034231,-1.0068,-0.0596,0.1444,1.019
0.684133,-1.0073,-0.0594,0.1439,1.019
0.686827154,-1.0035,-0.0598,0.1441,1.016
0.689655693,-1.0037,-0.0582,0.1451,1.016
0.691264308,-1.0019,-0.0571,0.1463,1.014
0.693694231,-1.0047,-0.0584,0.1478,1.017
0.695886462,-1.0068,-0.0594,0.1458,1.019
0.698435154,-1.0017,-0.0591,0.1458,1.014
0.700713616,-1.0030,-0.0603,0.1451,1.015
0.703994539,-1.0030,-0.0594,0.1465,1.015
0.705567693,-1.0007,-0.0584,0.1463,1.013
0.707912,-1.0032,-0.0584,0.1465,1.015
0.711037539,-1.0024,-0.0574,0.1468,1.015
0.712887693,-1.0003,-0.0584,0.1470,1.013
0.716516923,-1.0042,-0.0574,0.1478,1.017
0.717477923,-0.9988,-0.0571,0.1463,1.011
0.720118847,-0.9919,-0.0550,0.1461,1.004
0.722666154,-0.9939,-0.0574,0.1468,1.006
0.724312308,-0.9988,-0.0574,0.1478,1.011
0.727268308,-1.0017,-0.0569,0.1468,1.014
0.729406231,-1.0044,-0.0569,0.1453,1.016
0.731424616,-1.0037,-0.0571,0.1453,1.016
0.733721923,-1.0000,-0.0566,0.1470,1.012
0.74804677,-0.9995,-0.0584,0.1476,1.012
0.748973847,-0.9995,-0.0577,0.1481,1.012
0.749318154,-1.0017,-0.0586,0.1474,1.014
0.749692616,-1.0022,-0.0579,0.1476,1.015
0.750191154,-1.0035,-0.0586,0.1470,1.016
0.750626154,-1.0042,-0.0606,0.1488,1.017
0.751041,-1.0047,-0.0615,0.1493,1.018
0.753404077,-1.0049,-0.0596,0.1486,1.018
0.755436077,-1.0063,-0.0589,0.1476,1.019
0.757706847,-1.0063,-0.0623,0.1470,1.019
0.761068693,-1.0054,-0.0591,0.1463,1.018
0.762346539,-1.0044,-0.0606,0.1451,1.017
0.767648923,-1.0039,-0.0606,0.1465,1.016
0.767762154,-1.0019,-0.0579,0.1427,1.014
0.769393923,-1.0019,-0.0610,0.1425,1.014
0.771373539,-1.0039,-0.0603,0.1444,1.016
0.773911693,-1.0010,-0.0579,0.1463,1.013
0.776446231,-1.0017,-0.0596,0.1474,1.014
0.778791693,-0.9991,-0.0566,0.1465,1.011
0.783155077,-0.9986,-0.0584,0.1429,1.010
0.784313539,-0.9986,-0.0582,0.1456,1.011
0.785692308,-0.9968,-0.0582,0.1474,1.009
0.788231154,-0.9963,-0.0557,0.1478,1.009
0.790851154,-0.9975,-0.0564,0.1478,1.010
0.794573539,-0.9991,-0.0545,0.1449,1.011
0.795493616,-0.9993,-0.0564,0.1453,1.011
0.797574231,-0.9951,-0.0569,0.1451,1.007
0.799819077,-0.9954,-0.0603,0.1465,1.008
0.803913539,-0.9956,-0.0577,0.1476,1.008
0.804539385,-0.9966,-0.0582,0.1490,1.009
0.811161539,-0.9988,-0.0571,0.1495,1.012
0.811836385,-0.9998,-0.0586,0.1488,1.013
0.812117847,-0.9988,-0.0608,0.1488,1.012
0.813866539,-0.9995,-0.0584,0.1498,1.012
0.816240077,-0.9998,-0.0577,0.1483,1.012
0.81877477,-0.9988,-0.0596,0.1490,1.012
0.820990154,-1.0015,-0.0591,0.1521,1.015
0.823456923,-1.0010,-0.0559,0.1517,1.014
0.827098462,-1.0000,-0.0566,0.1512,1.013
0.82842277,-1.0017,-0.0579,0.1495,1.014
0.831148693,-1.0012,-0.0582,0.1505,1.014
0.833691077,-1.0010,-0.0598,0.1481,1.014
0.835466154,-0.9993,-0.0566,0.1486,1.012
0.838152616,-1.0010,-0.0569,0.1498,1.014
0.839820077,-1.0015,-0.0550,0.1512,1.014
0.842401,-1.0005,-0.0559,0.1495,1.013
0.844767385,-1.0003,-0.0574,0.1507,1.013
0.847755154,-0.9998,-0.0613,0.1500,1.013
0.854561539,-1.0024,-0.0598,0.1517,1.016
0.855496923,-1.0019,-0.0598,0.1495,1.015
0.855783077,-0.9995,-0.0598,0.1502,1.012
0.861934154,-0.9958,-0.0569,0.1505,1.009
0.862370231,-0.9949,-0.0552,0.1500,1.008
0.862632,-0.9963,-0.0571,0.1505,1.009
0.866216923,-0.9998,-0.0564,0.1495,1.012
0.866766539,-1.0015,-0.0562,0.1493,1.014
0.868281308,-1.0019,-0.0574,0.1505,1.015
0.870764308,-0.9993,-0.0559,0.1524,1.012
0.872856,-0.9966,-0.0569,0.1530,1.010
0.875959385,-0.9988,-0.0598,0.1530,1.012
0.877929847,-0.9986,-0.0586,0.1524,1.012
0.880335077,-0.9998,-0.0582,0.1521,1.013
0.882825847,-0.9993,-0.0603,0.1534,1.013
0.88493877,-0.9979,-0.0594,0.1512,1.011
0.887244923,-0.9995,-0.0577,0.1514,1.013
0.889531077,-1.0003,-0.0584,0.1517,1.013
0.894047462,-1.0000,-0.0574,0.1495,1.013
0.894883154,-1.0000,-0.0589,0.1509,1.013
0.896529923,-0.9968,-0.0589,0.1509,1.010
0.899461308,-0.9995,-0.0566,0.1495,1.012
0.901788,-1.0042,-0.0591,0.1490,1.017
0.903910154,-1.0044,-0.0577,0.1495,1.017
0.906254154,-1.0030,-0.0596,0.1483,1.016
0.908307385,-1.0047,-0.0618,0.1481,1.017
0.910852077,-1.0049,-0.0601,0.1495,1.018
